Test_ID,Cement,Slag,Flyash,Water,SuperPlasticizer,CoarseAggregate,FineAggregate,Age,CSinMPa
C3417,540,0,0,162,2.5,1040,676,28,79.99
P7675,540,0,0,162,2.5,1055,676,28,61.89
Y5697,332.5,142.5,0,228,0,932,594,270,40.27
R3821,332.5,142.5,0,228,0,932,594,365,41.05
P3773,198.6,132.4,0,192,0,978.4,825.5,360,44.3
F3999,266,114,0,228,0,932,670,90,47.03
H4483,380,95,0,228,0,932,594,365,43.7
R9818,380,95,0,228,0,932,594,28,36.45
Y7731,266,114,0,228,0,932,670,28,45.85
R2464,475,0,0,228,0,932,594,28,39.29
M1307,198.6,132.4,0,192,0,978.4,825.5,90,38.07
I6640,198.6,132.4,0,192,0,978.4,825.5,28,28.02
F3122,427.5,47.5,0,228,0,932,594,270,43.01
T9627,190,190,0,228,0,932,670,90,42.33
C8371,304,76,0,228,0,932,670,28,47.81
E7170,380,0,0,228,0,932,670,90,52.91
F7961,139.6,209.4,0,192,0,1047,806.9,90,39.36
U8356,342,38,0,228,0,932,670,365,56.14
G3334,380,95,0,228,0,932,594,90,40.56
G1786,475,0,0,228,0,932,594,180,42.62
F6242,427.5,47.5,0,228,0,932,594,180,41.84
A7952,139.6,209.4,0,192,0,1047,806.9,28,28.24
Y5998,139.6,209.4,0,192,0,1047,806.9,3,8.06
Q6882,139.6,209.4,0,192,0,1047,806.9,180,44.21
Y6373,380,0,0,228,0,932,670,365,52.52
Q2491,380,0,0,228,0,932,670,270,53.3
Z9179,380,95,0,228,0,932,594,270,41.15
R9254,342,38,0,228,0,932,670,180,52.12
U7662,427.5,47.5,0,228,0,932,594,28,37.43
R7553,475,0,0,228,0,932,594,7,38.6
N1649,304,76,0,228,0,932,670,365,55.26
S9291,266,114,0,228,0,932,670,365,52.91
J7035,198.6,132.4,0,192,0,978.4,825.5,180,41.72
W2512,475,0,0,228,0,932,594,270,42.13
C8126,190,190,0,228,0,932,670,365,53.69
D3884,237.5,237.5,0,228,0,932,594,270,38.41
D4846,237.5,237.5,0,228,0,932,594,28,30.08
X9363,332.5,142.5,0,228,0,932,594,90,37.72
J5460,475,0,0,228,0,932,594,90,42.23
J5515,237.5,237.5,0,228,0,932,594,180,36.25
S2726,342,38,0,228,0,932,670,90,50.46
K7156,427.5,47.5,0,228,0,932,594,365,43.7
D7254,237.5,237.5,0,228,0,932,594,365,39
Z4508,380,0,0,228,0,932,670,180,53.1
J9154,427.5,47.5,0,228,0,932,594,90,41.54
K2699,427.5,47.5,0,228,0,932,594,7,35.08
F8005,349,0,0,192,0,1047,806.9,3,15.05
A2460,380,95,0,228,0,932,594,180,40.76
N9116,237.5,237.5,0,228,0,932,594,7,26.26
C3152,380,95,0,228,0,932,594,7,32.82
Y7227,332.5,142.5,0,228,0,932,594,180,39.78
K8511,190,190,0,228,0,932,670,180,46.93
Q2726,237.5,237.5,0,228,0,932,594,90,33.12
Q9634,304,76,0,228,0,932,670,90,49.19
F3315,139.6,209.4,0,192,0,1047,806.9,7,14.59
U4664,198.6,132.4,0,192,0,978.4,825.5,7,14.64
B1865,475,0,0,228,0,932,594,365,41.93
V4365,198.6,132.4,0,192,0,978.4,825.5,3,9.13
W3028,304,76,0,228,0,932,670,180,50.95
Z6376,332.5,142.5,0,228,0,932,594,28,33.02
A4780,304,76,0,228,0,932,670,270,54.38
Y3472,266,114,0,228,0,932,670,270,51.73
Q3007,310,0,0,192,0,971,850.6,3,9.87
X8091,190,190,0,228,0,932,670,270,50.66
D8367,266,114,0,228,0,932,670,180,48.7
B9674,342,38,0,228,0,932,670,270,55.06
P6582,139.6,209.4,0,192,0,1047,806.9,360,44.7
A2056,332.5,142.5,0,228,0,932,594,7,30.28
M1876,190,190,0,228,0,932,670,28,40.86
C6201,485,0,0,146,0,1120,800,28,71.99
W2141,374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
W8644,313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
J8538,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
P9064,425,106.3,0,151.4,18.6,936,803.7,3,36.3
Y2069,375,93.8,0,126.6,23.4,852.1,992.6,3,29
Y8866,475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
M4624,469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
D4627,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
M6073,388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
Y8839,531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
G5376,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
R6728,318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
U3672,401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
O7744,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
J9099,323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
I8410,379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
M6095,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
L5345,286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
K4941,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
Z9203,439,177,0,186,11.1,884.9,707.9,3,39.3
A8434,389.9,189,0,145.9,22,944.7,755.8,3,40.6
D6476,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
M1182,337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
V3772,374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
L2907,313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
M1494,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
V7262,425,106.3,0,151.4,18.6,936,803.7,7,46.8
C9556,375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
I5586,475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
E8019,469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
Y2216,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
E5625,388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
N6104,531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
V5257,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
C2657,318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
E8006,401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
F1618,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
L4020,323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
E3862,379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
H1517,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
F8936,286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
Z1671,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
I8164,439,177,0,186,11.1,884.9,707.9,7,56.1
A6235,389.9,189,0,145.9,22,944.7,755.8,7,59.09
V1287,362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
H1655,337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
P2908,374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
Z4274,313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
V3702,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
Z2946,425,106.3,0,151.4,18.6,936,803.7,28,61.8
S2125,375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
X6777,475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
O8569,469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
C8993,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
L2496,388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
Q3786,531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
N7424,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
I3785,318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
Q2455,401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
J1266,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
A5222,323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
E4018,379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
H2887,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
H9773,286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
S6270,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
N9889,439,177,0,186,11.1,884.9,707.9,28,66
Y3395,389.9,189,0,145.9,22,944.7,755.8,28,74.5
W3155,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
K8970,337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
T6248,374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
H8708,313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
W6735,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
R4683,425,106.3,0,151.4,18.6,936,803.7,56,64.9
C4512,375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
C1524,475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
Z1219,469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
J2865,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
I6803,388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
Q8843,531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
Y5282,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
O8657,318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
Z6841,401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
O6278,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
D3560,323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
G9779,379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
Z8764,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
A6725,286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
Q1652,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
P1299,439,177,0,186,11.1,884.9,707.9,56,71.7
E1592,389.9,189,0,145.9,22,944.7,755.8,56,79.4
O5877,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
W4715,337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
A2193,374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
E1962,313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
R9344,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
L9669,425,106.3,0,151.4,18.6,936,803.7,91,66.7
I9219,375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
O3738,475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
I7254,469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
A2963,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
Z9532,388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
M3096,531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
Z8705,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
B9064,318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
V1617,401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
S9915,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
G9527,379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
Z7300,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
Q5783,286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
M3914,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
V6861,439,177,0,186,11.1,884.9,707.9,91,73.3
Q6549,389.9,189,0,145.9,22,944.7,755.8,91,82.6
P4663,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
M3521,337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
E1731,222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
J4170,222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
L2125,222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
D6587,222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
L5333,222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
W9020,233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
P5276,233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
B8383,233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
G4222,233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
N1357,233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
Z3856,194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
A9499,194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
Q9275,194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
A4316,194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
Y7497,194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
W6781,190.7,0,125.4,162.1,7.8,1090,804,3,15.04
W4587,190.7,0,125.4,162.1,7.8,1090,804,14,21.06
S6461,190.7,0,125.4,162.1,7.8,1090,804,28,26.4
H6491,190.7,0,125.4,162.1,7.8,1090,804,56,35.34
F2639,190.7,0,125.4,162.1,7.8,1090,804,100,40.57
L6152,212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
R8763,212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
L8298,212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
F9183,212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
R3566,212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
D5581,230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
S9331,230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
H6379,230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
I9754,230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
H3344,230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
K9365,190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
X1079,190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
M5615,190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
M4620,190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
T4009,190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
S8467,166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
G9552,166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
D4536,166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
G9625,166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
N6868,166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
N5285,168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
M3764,168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
J7362,168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
V9570,168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
S1711,168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
H5325,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
R3548,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
T5422,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
B6913,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
F1966,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
K4753,213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
M9326,213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
I2006,213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
Y7028,213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
T7679,213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
T9869,229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
W7472,229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
O9488,229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
S3468,229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
U4598,229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
H1639,238.1,0,94.1,186.7,7,949.9,847,3,19.93
L3167,238.1,0,94.1,186.7,7,949.9,847,14,25.69
R6517,238.1,0,94.1,186.7,7,949.9,847,28,30.23
J8614,238.1,0,94.1,186.7,7,949.9,847,56,39.59
F7265,238.1,0,94.1,186.7,7,949.9,847,100,44.3
V7148,250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
X1642,250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
C4946,250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
Y7388,250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
F5607,250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
R3619,212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
E4233,212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
V6577,212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
F3492,212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
V3591,212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
C9177,212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
Q6823,212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
T5194,212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
H7977,212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
V8207,212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
E3500,212,0,124.8,159,7.8,1085.4,799.5,3,19.52
D7332,212,0,124.8,159,7.8,1085.4,799.5,14,31.35
Y6457,212,0,124.8,159,7.8,1085.4,799.5,28,38.5
U3955,212,0,124.8,159,7.8,1085.4,799.5,56,45.08
U8796,212,0,124.8,159,7.8,1085.4,799.5,100,47.82
A7207,231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
J2498,231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
U5741,231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
P1175,231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
Q3010,231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
A2448,251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
E3932,251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
X6805,251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65
Y3303,251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
M3611,251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
T7747,251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
J6560,251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
E4034,251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
P1904,251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
H3372,251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
O5874,181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
O2871,181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
K2605,181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
I1455,181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
P7381,181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
A8406,182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
Q9515,182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
X2525,182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
S3121,182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
B4614,182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
A6637,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
K8276,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
Z9723,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
J4394,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
C7916,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
S1871,290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
F9227,290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
G5887,290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
Y2141,290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
X8694,290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
S4932,277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
H8185,277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
J7846,277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
Z5843,277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
N5694,277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
S7127,295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
J1614,295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
D2337,295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
I5632,295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
M6921,295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
B5221,251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02
V9227,251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
D2493,251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
C7250,251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14
W9632,251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
K3558,249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
J5044,249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
I9486,249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
E8837,249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
